batsman,Bangalore,Chennai,Delhi,Hyderabad,Jaipur,Kochi,Kolkata,Mohali,Mumbai,Pune,Rajkot
SW Billings,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
SW Tait,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Sachin Baby,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Salman Butt,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0
Sandeep Sharma,1.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0
Shahid Afridi,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shakib Al Hasan,3.0,1.0,2.0,0.0,2.0,0.0,15.0,2.0,5.0,0.0,2.0
Shivam Sharma,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Shoaib Ahmed,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shoaib Akhtar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Shoaib Malik,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Sohail Tanvir,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
Sunny Gupta,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunny Singh,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Swapnil Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
T Henderson,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
T Kohli,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
T Taibu,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
T Thushara,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
TA Boult,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TD Paine,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TG Southee,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0
TL Suman,2.0,4.0,1.0,16.0,4.0,0.0,1.0,2.0,6.0,3.0,0.0
TM Dilshan,11.0,2.0,14.0,6.0,3.0,1.0,4.0,2.0,7.0,0.0,0.0
TM Head,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
TM Srivastava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
TR Birt,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TS Mills,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
U Kaul,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UA Birla,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
UBT Chand,3.0,0.0,7.0,2.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0
UT Khawaja,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
UT Yadav,2.0,2.0,8.0,2.0,1.0,0.0,5.0,0.0,2.0,1.0,0.0
Umar Gul,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
V Kohli,69.0,9.0,9.0,12.0,8.0,1.0,9.0,8.0,10.0,1.0,5.0
V Pratap Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
V Sehwag,7.0,5.0,44.0,8.0,4.0,0.0,7.0,15.0,11.0,3.0,0.0
V Shankar,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
