batsman,Bangalore,Chennai,Delhi,Hyderabad,Jaipur,Kochi,Kolkata,Mohali,Mumbai,Pune,Rajkot
P Negi,61.0,73.0,91.0,0.0,0.0,0.0,29.0,8.0,38.0,18.0,35.0
P Parameswaran,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P Sahu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0
PA Patel,274.0,408.0,165.0,292.0,81.0,94.0,135.0,245.0,460.0,98.0,70.0
PA Reddy,19.0,0.0,1.0,135.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0
PC Valthaty,6.0,120.0,3.0,6.0,5.0,0.0,15.0,326.0,0.0,24.0,0.0
PD Collingwood,0.0,0.0,93.0,51.0,0.0,0.0,55.0,4.0,0.0,0.0,0.0
PJ Cummins,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,24.0
PJ Sangwan,4.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,1.0
PM Sarvesh Kumar,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PP Chawla,7.0,34.0,46.0,66.0,31.0,0.0,78.0,236.0,1.0,16.0,0.0
PP Ojha,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
PR Shah,19.0,0.0,23.0,40.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
PSP Handscomb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
PV Tambe,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0
Pankaj Singh,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Parvez Rasool,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
Q de Kock,114.0,3.0,328.0,109.0,0.0,0.0,0.0,111.0,56.0,0.0,5.0
R Ashwin,26.0,78.0,27.0,5.0,9.0,0.0,0.0,29.0,16.0,41.0,0.0
R Bhatia,55.0,32.0,26.0,8.0,53.0,1.0,89.0,21.0,38.0,19.0,0.0
R Bishnoi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
R Dhawan,24.0,0.0,0.0,7.0,4.0,0.0,23.0,61.0,23.0,11.0,0.0
R Dravid,377.0,101.0,179.0,303.0,768.0,44.0,115.0,157.0,55.0,75.0,0.0
R McLaren,2.0,0.0,0.0,0.0,11.0,0.0,0.0,90.0,56.0,0.0,0.0
R Ninan,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R Rampaul,3.0,0.0,12.0,0.0,13.0,0.0,0.0,0.0,23.0,0.0,0.0
