batsman,Bangalore,Chennai,Delhi,Hyderabad,Jaipur,Kochi,Kolkata,Mohali,Mumbai,Pune,Rajkot
MM Sharma,100.0,44.44444444444444,100.0,120.0,0.0,0.0,91.66666666666666,100.0,233.33333333333334,0.0,100.0
MN Samuels,170.0,53.333333333333336,16.666666666666664,47.05882352941176,0.0,0.0,0.0,15.384615384615385,0.0,108.08080808080808,25.0
MN van Wyk,0.0,0.0,0.0,0.0,0.0,0.0,123.7037037037037,0.0,0.0,0.0,0.0
MP Stoinis,154.54545454545453,0.0,0.0,0.0,0.0,0.0,69.23076923076923,106.0,0.0,0.0,131.37254901960785
MR Marsh,100.0,0.0,0.0,104.25531914893618,159.0909090909091,0.0,62.5,0.0,0.0,112.00000000000001,0.0
MS Bisla,127.2108843537415,143.75,40.0,57.692307692307686,75.55555555555556,0.0,102.63157894736842,113.0718954248366,85.71428571428571,0.0,0.0
MS Dhoni,133.33333333333331,136.20253164556962,131.5,145.61403508771932,117.8294573643411,121.05263157894737,147.19101123595507,138.0,136.74418604651163,112.58064516129032,125.0
MS Gony,0.0,104.16666666666667,237.5,0.0,50.0,0.0,221.0526315789474,56.25,0.0,0.0,0.0
MS Wade,88.88888888888889,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,55.00000000000001,0.0
MV Boucher,132.02247191011236,100.0,124.13793103448276,105.0,75.0,125.0,132.35294117647058,50.0,120.0,0.0,0.0
Mandeep Singh,117.78846153846155,87.5,143.47826086956522,132.94117647058823,142.10526315789474,0.0,136.76470588235296,117.52021563342319,120.58823529411764,93.84615384615384,57.14285714285714
Mashrafe Mortaza,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Misbah-ul-Haq,262.5,66.66666666666666,188.0,112.12121212121211,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Mohammad Ashraful,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
